Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
c1c51ecf-3c2b-46bc-afc8-f36a97973f55,"2020-06-14, 12:33:37 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,47.221.156.77
373de25a-2166-4aba-af52-7044c8bcd654,"2020-06-14, 12:33:36 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA3OMXQXG446RZJ5VOQ""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::786833652153:user/CloudTrail""}]",,us-east-1,,47.221.156.77
84414fbb-1cb6-48e7-b65a-22626052acfd,"2020-06-14, 12:30:05 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::786833652153:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA3OMXQXG43KIR7FCC6""}]",,us-east-1,,47.221.156.77
9cebd1bf-8a61-49d4-b7e0-bc0c5807a605,"2020-06-14, 12:30:05 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,47.221.156.77
0119a32c-7bd9-4ae7-b6e1-737ddcb37c95,"2020-06-14, 12:29:46 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,47.221.156.77
56ff5006-66a5-41d5-bf5b-4442c36de9f4,"2020-06-14, 12:29:46 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA3OMXQXG4Z3JUDOFHG""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::786833652153:group/CloudTrailAdmins""}]",,us-east-1,,47.221.156.77
9c9caacb-8a8e-4fbc-8493-2a033ae57d29,"2020-06-14, 12:29:46 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,47.221.156.77
bad59198-c15b-41bd-85e8-e35d0f93db00,"2020-06-14, 12:27:45 AM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,47.221.156.77
4db2d813-b9ea-46dd-9103-52c452fea452,"2020-06-14, 12:27:01 AM",root,ConsoleLogin,,,,us-east-1,,47.221.156.77
d4c59a9b-30ce-4d57-a65d-4e52500b52b5,"2020-06-14, 12:26:38 AM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,47.221.156.77
39560e41-571d-43a1-ab42-92e3e9b9cd21,"2020-06-14, 12:19:01 AM",root,ConsoleLogin,,,,us-east-1,,47.221.156.77
